a,b
0.3723681514576871,0.6562504000324961
0.7829301903269288,0.14265571269370536
0.4169264277488357,0.07098150610733844
0.4256417831009178,0.7616038767684392
0.45583850844797225,0.599375050678418
0.7058639789198681,0.32969672053884924
0.32349705754350033,0.7392805443820437
0.3480461756861627,0.35027822470127723
0.6966045570341715,0.4956134909628128
0.5061548487573941,0.052750668052601535
0.3885185091930069,0.07770738200902993
0.4851394143456669,0.28115200413019115
0.6551215747273775,0.9297509277859497
0.08391210694555062,0.3613933106385
0.34672755320729165,0.31033108355988015
0.043923701043959484,0.498867145316956
0.31986113924554604,0.8558651501772808
0.15563969045968562,0.2460434161337991
0.8145350171526007,0.9586193943175326
0.826509933640206,0.6971192230288932
0.6056677016340885,0.0965983316565433
0.3120623463528621,0.23700057899454063
0.21181935115825445,0.8747654875788285
0.23422841689914198,0.1373477473610043
0.2349025087188077,0.8266585177530661
0.892486267480027,0.4865025078590345
0.723170787379178,0.7812689006003254
0.3368960180975036,0.38468230610296805
0.7363790352605993,0.49630408821511696
0.7135268355543034,0.2832203303686931
0.6313734662458086,0.030200694434406428
0.3829112409742589,0.8560141751096785
0.0320984441738259,0.08232959438048515
0.5453296750339773,0.8938617246700787
0.8473696101581851,0.623864161058447
0.3705247956880523,0.1588529511579443
0.7224725243575951,0.4492694303282069
0.7609633315504682,0.8603880097738039
0.3481934800777079,0.8148341269219018
0.48762866134207816,0.4261339096796791
0.42152116987080834,0.8621420070330926
0.6502509757776059,0.9232250879549756
0.9171795750426528,0.8397602855475479
0.14502979567179675,0.8165239291791032
0.8767539301607403,0.4279593610437854
0.15524890279821235,0.7416858617732524
0.9946471451077573,0.4160520937998581
0.9508521289781451,0.5548825486630827
0.07124184250873411,0.11072711221234155
0.17064552690489276,0.23756428656965023
0.5066593256195941,0.7631018532827918
0.48580426894314865,0.7366426900104335
0.4740590425008322,0.7138956704897078
0.5885500223759915,0.8500696273469706
0.7502198375169539,0.7257924944898034
0.1430487525419929,0.1636095122404727
0.8909655181677495,0.3666041499859042
0.7869436589759802,0.8293428470835735
0.5178477533807365,0.016496761640678925
0.3442964170098396,0.8972094178445641
0.9619508012836095,0.4664145886556741
0.8196660036380043,0.13398560804825022
0.03783813275742964,0.3728916943866456
0.006797342580788457,0.4769544229728192
0.5309747205961248,0.905445950214598
0.7198277170006077,0.37430412635201904
0.017524681987526103,0.6870873219931948
0.31396861469456505,0.9036992715872217
0.3688804913753644,0.9722205151136512
0.3651434446581666,0.22333156608831262
0.6358476167722454,0.2773389664663507
0.13556948385091616,0.767986342266666
0.19795150564806074,0.2309049398660723
0.02373025914162885,0.4362687120653148
0.06763991649787038,0.593511108229966
0.5400248211738429,0.59694672253398
0.9802639772825193,0.3652090625386948
0.5301435270298999,0.8801074804121692
0.9032799789772582,0.9618361081699329
0.9708122452668088,0.7214780715617911
0.22982871599862753,0.12880964369068115
0.26398067761407784,0.33014900711289363
0.26204573070538995,0.4212857666068551
0.589084027844408,0.8264979571955635
0.26721057548356264,0.09326196894433414
0.9240166032791762,0.6280701205780261
0.7017084776930749,0.8193818971125688
0.6337155617227805,0.8207010032340966
0.4261833756551425,0.013809720223091904
0.4349913590699982,0.5833666734180932
0.8609221190396316,0.26559074974809793
0.6456756367165639,0.6814137269306916
0.07782658361088457,0.6886744858488741
0.33624535034762815,0.9836326163492581
0.027669876278865413,0.7738358721530227
0.7078777941038459,0.2867777176746654
0.32606689255844745,0.6510031952506009
0.21984744007707657,0.5049603824171348
0.22463116240581305,0.5696909361555185
0.07801528625557663,0.73088428468337
0.4710944687217854,0.2737963402437985
0.22564178133374269,0.03509070763775757
0.42717457945038273,0.5376948522030319
0.05672088256817098,0.6341044777380218
0.8128973820899964,0.46917230077317373
0.5038875388397165,0.7717447589733886
0.39161114985778533,0.9945088489914099
0.4865189298666065,0.38703700147754594
0.7122258965452383,0.04632263934769887
0.8098210620647569,0.8962257665041464
0.9736989675083473,0.26488951750791256
0.2658469861278808,0.10818025722785041
0.09784185853238603,0.8242846410720027
0.7375586688261074,0.9649572507375808
0.12719044957180325,0.25320218683936135
0.04215602375569483,0.8051004203095861
0.9684041439980686,0.20723172938667134
0.6688514218939324,0.15555395869754152
0.40973500574718147,0.11770006020235801
0.3372984341180886,0.09207314748305406
0.6267551530179416,0.7943130994324334
0.3545097958128802,0.23213866614963508
0.85192682844869,0.6074017906115992
0.9186880263675389,0.566327444174896
0.38252380766628113,0.33964856441078706
0.15465778653527407,0.24854602159090478
0.7424916222257086,0.9588306380501707
0.519489321935403,0.09573831530538768
0.681204650618053,0.20373354096986018
0.03399404205162626,0.6913345872091606
0.026206136945964964,0.8884368278563265
0.8791308136515648,0.7381979409185664
0.23869202824412095,0.5465208710090804
0.28239769960929173,0.9706456307544318
0.2427221448381166,0.7663096019846523
0.7445422402734869,0.9218563379523029
0.2195142004982079,0.9050859301832945
0.84344215054502,0.6837512285533335
